id|region|nsuId
010086500AC4A000|JP|70030000002023
0100506005A2C000|JP|70030000000501
0100F5E008AA0000|JP|
0100D4E005B3E000|JP|
010060C00B0AA000|JP|
010078B00B0AC000|JP|
0100A9A0088FE000|JP|
0100B4700B5B0000|JP|70030000003103
010076800B06E000|JP|70030000003861
0100BB500AAE6000|JP|
0100ACC00A56E000|JP|
010045B00849C000|JP|70030000001161
0100EAE00C29E000|JP|
010095B00AA38000|JP|70030000003142
0100E6400B1EA000|JP|
0100E1500B5EE000|JP|
01008F200C880000|JP|70030000005623
0100EBD00B21E000|JP|
0100CB9007DAE000|JP|70030000001382
010097000C398000|JP|
010090B005150000|JP|70030000000561
010092D00CC12000|JP|
010096000B3EA000|JP|
010086D00B3D2000|JP|
0100A3300CD22000|JP|
01003AE00A872000|JP|
01006E30099B8000|JP|
0100AAC008ADA000|JP|
0100E6000CB50000|JP|
0100EF400CB4E000|JP|
010002A00D168000|JP|70030000005481
0100917007888000|JP|70030000000682
0100631008244000|JP|
01004AF00A772000|JP|
010097400A148000|JP|70030000002621
01001E600C790000|JP|70030000004362
010003D00867A000|JP|
010004D00D222000|JP|70030000005822
0100C1800D7AE000|JP|70030000006001
010086100AA54000|JP|
01004F1006CDA000|JP|
01000DC003740000|JP|
01004B10031BE000|JP|
010021300ABDE000|JP|
0100A4A00A958000|JP|
010045600A0D4000|JP|
0100974004924000|JP|
0100069000078000|JP|
0100A8200D0EE000|JP|
010068200BF14000|JP|70030000004322
01009C400C5CA000|JP|
010005D0079F8000|JP|
0100DE700B028000|JP|
010029E00B0D8000|JP|
01006E500BE94000|JP|70030000003902
0100CA000C682000|JP|
0100CCE00BC48000|JP|
01006EE00AE38000|JP|
0100644008454000|JP|
0100D87002EE0000|JP|70030000000021
01000D7005E28000|JP|
010000A00218E000|JP|
01003870040FA000|JP|
010086F0040FC000|JP|
010039300A56C000|JP|
01005AE00A528000|JP|70030000001662
0100454008DA8000|JP|
0100FB9006A7E000|JP|
0100B7B009532000|JP|
010088F00AD80000|JP|
0100FA500B128000|JP|
010006100C050000|JP|
0100FA900C466000|JP|
01001F200A536000|JP|70030000004183
0100E3500B00E000|JP|70030000002301
0100509005AF2000|JP|
010062600D236000|JP|
01001DB00CCA6000|JP|
010087E00B0E6000|JP|
010076A009426000|JP|70030000001701
010072800B1FC000|JP|70030000003701
01005BA00BEE6000|JP|
010020100B768000|JP|
010023300B0F0000|JP|
010012600A9DA000|JP|
010066F009524000|JP|70030000003102
010037B00A9C8000|JP|70030000002302
0100A1400AC08000|JP|
0100FBD00B91E000|JP|
0100CEC00BF04000|JP|
010083D00D170000|JP|70030000005624
01003B2009D18000|JP|
01008D00062C2000|JP|70030000000281
010044200A112000|JP|70030000001842
01004E300899E000|JP|
010008300D1E0000|JP|
010027900C706000|JP|
01009CF00A9C4000|JP|
0100FC900CAE4000|JP|
0100E0300CF24000|JP|70030000004762
01007A300C856000|JP|
0100D6300B938000|JP|70030000003382
0100AE800C9C6000|JP|70030000006004
010075A00B7C8000|JP|70030000003201
0100DF000A188000|JP|70030000001603
0100D1700992E000|JP|70030000001862
0100F8200C5F0000|JP|70030000004061
010017E0082E6000|JP|70030000000761
010021B002EEA000|JP|70030000000044
0100F12002FC8000|JP|70030000000061
010076400D678000|JP|70030000005861
010040B00AE0E000|JP|
01002CE00B6A8000|JP|70030000003062
010009F00BA7A000|JP|70030000003501
01009B30095F8000|JP|70030000001682
0100D070040F8000|JP|
0100E65006968000|JP|70030000000681
010096E00CD08000|JP|70030000004763
01004A800B158000|JP|70030000002603
010071400BDDC000|JP|70030000004962
0100A2A00B6D6000|JP|70030000003383
01003C300C66A000|JP|70030000004261
0100930002EAA000|JP|70030000000043
0100D59006266000|JP|70030000001461
010002700C646000|JP|70030000004963
0100AB400C5A4000|JP|70030000004221
01002EB00CE48000|JP|70030000004842
010012900D38A000|JP|70030000005482
010096E008BAA000|JP|70030000001921
0100E4000CA4C000|JP|70030000004964
010095A00D316000|JP|70030000006003
0100669004754000|JP|70030000000201
010013300CD5A000|JP|70030000004662
010030D005AE6000|JP|
010077300A9AC000|JP|70030000002081
010020400B0A8000|JP|
0100CC100B78A000|JP|70030000003061
0100C51003B46000|JP|70030000000241
0100EAE00D5A6000|JP|70030000005821
0100AF100CAF6000|JP|70030000004701
0100C2D0094A2000|JP|70030000001801
010042600C418000|JP|70030000004482
0100A7D00A982000|JP|70030000001863
0100E7F00CA7E000|JP|70030000005163
01004C000BF96000|JP|70030000004841
01002CC00B5FC000|JP|
0100D0500B5B2000|JP|70030000002941
010065900CB3A000|JP|70030000004741
010073200B83C000|JP|70030000003821
010003200ABE4000|JP|
01007CC00BA2A000|JP|70030000003321
01005A70096FA000|JP|
0100DB200B512000|JP|
010025000B836000|JP|70030000002942
010033200C50E000|JP|70030000005622
01002C6008C76000|JP|70030000000941
0100FFB00CAF4000|JP|70030000005161
010052400CF68000|JP|70030000005162
01002B100B122000|JP|70030000002721
01008B400BE5E000|JP|70030000004001
01006BB0091F4000|JP|70030000001602
01002C400B6B6000|JP|70030000003001
01002E100D1E2000|JP|70030000006002
010016A00BA0C000|JP|70030000003141
01004F7003726000|JP|70030000000163
010037200B346000|JP|
010038400CADC000|JP|
010023800D3F2000|JP|
0100D9200D090000|JP|
0100EDD00D5AA000|JP|
01009A500D8CC000|JP|
0100F3400D228000|JP|70030000006122
